tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,dog_stage,tiny_url,retweet_count,favorite_count,media_count,breed,breed_conf,media_id
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13.0,10.0,Tilly,,https://t.co/0Xxu71qeIV,6196,32826,1,Chihuahua,32.36,892177413194625024
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12.0,10.0,Archie,,https://t.co/wUnZnhtVJB,4100,24720,1,Chihuahua,71.6,891815175371796480
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13.0,10.0,Darla,,https://t.co/tD36da7qLQ,8531,41631,1,Labrador Retriever,16.81,891689552724799489
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12.0,10.0,Franklin,,https://t.co/AtUZn91f7f,9250,39795,2,Basset,55.57,891327551947157504
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13.0,10.0,,,https://t.co/kQ04fDDRmh,3076,19985,1,Chesapeake Bay Retriever,42.56,891087942176911360
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H",13.0,10.0,Jax,,https://t.co/tVJBRMnhxl,2041,11699,1,Appenzeller,34.17,890971906207338496
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13.0,10.0,,,https://t.co/v0nONBcwxq,18636,64640,2,Pomeranian,56.61,890729118848892928
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13.0,10.0,Zoey,,https://t.co/9TwLuAGH0b,4215,27474,1,Irish Terrier,48.76,890609177319665665
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14.0,10.0,Cassie,doggo,https://t.co/t1bfwz5S2A,7295,31519,1,Pembroke,51.13,890240245463175168
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13.0,10.0,Koda,,https://t.co/dVPW0B0Mme,7242,30283,2,Samoyed,95.8,890006600089468928
889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13.0,10.0,Bruno,,https://t.co/u1XPQMl29g,4915,27440,1,French Bulldog,37.74,889880888800096258
889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12.0,10.0,Ted,,https://t.co/f8dEDcrKSR,4488,26837,2,French Bulldog,99.16,889638825424826374
888917238123831296,2017-07-23 00:22:39,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,12.0,10.0,Jim,,https://t.co/chxruIOUJN,4443,28724,1,Golden Retriever,71.47,888917229776945152
888804989199671297,2017-07-22 16:56:37,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best,13.0,10.0,Zeke,,https://t.co/HTQ77yNQ5K,4246,25242,2,Golden Retriever,46.98,888804981515575296
